accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
13264,13279,13279,13279,13279,12972,12972,12972.0,12972,12972,13288.0,10121,13267,13288,13288,19,13288,327,12988,6359,6380,4707,13287,1644,13271,13258,13257,1115,2842,651,815,13288,13287,13279.0,3869.0,362,0,3.0,13288,11,13288,12972,12972,12970,12972.0,13288
4346,4357,4357,209,7,2447,2447,,2447,2,,10121,13,6,211,1,2585,1,5614,11,3445,1177,3449,219,2540,8890,379,52,848,44,7,13216,6383,,,218,0,,13288,11,2,4029,4029,4027,,13266
422090-1,Sorghum bicolor,Sorghum bicolor (L.) Moench,Asteraceae,Species,Sorghum,Sorghum Moench,,331290-2,Genus,,27112-2,Species,Synonym,Asteraceae,×,Hieracium,×,vulgaris,var.,minor,L.,Kuntze,A.P.de Candolle,Prodr., 141: 42,(1891),", nom. illeg.",Spain,perennial,temperate,Erodium malacoides subvar. platyphyllum,DC.,,,L.,,,27112-2,Q. afares × Q. suber,N,Sorghum bicolor,Sorghum bicolor (L.) Moench,422090-1,,Erodium malacoides subvar. microphyllum Rouy
319,319,319,1495,10142,319,319,,319,10142,,1,6608,12234,1495,19,227,327,117,4187,36,152,162,176,285,18,212,459,1041,128,209,3,107,,,23,,,1,1,8210,319,319,319,,3
,,,,,,,1958513.2897008942,,,2048218.485550873,,,,,,,,,,,,,,,,,,,,,,,2015410.4220950373,1837193.5820625485,,,2826643.0,,,,,,,1961606.463691027,
,,,,,,,1187224.6911136915,,,1223870.6777274827,,,,,,,,,,,,,,,,,,,,,,,1224828.257986031,1215651.7949922278,,,428642.91435996,,,,,,,1181106.263654169,
,,,,,,,126.0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,126.0,263.0,,,2353768.0,,,,,,,130.0,
,,,,,,,438567.0,,,462303.0,,,,,,,,,,,,,,,,,,,,,,,436753.0,401086.0,,,2645126.0,,,,,,,428040.0,
,,,,,,,2535695.0,,,2649474.5,,,,,,,,,,,,,,,,,,,,,,,2593690.0,2503798.0,,,2936484.0,,,,,,,2550742.0,
,,,,,,,2842220.0,,,3023702.25,,,,,,,,,,,,,,,,,,,,,,,3009324.0,2867116.0,,,3063080.5,,,,,,,2846164.0,
,,,,,,,3275403.0,,,3287393.0,,,,,,,,,,,,,,,,,,,,,,,3286928.0,3285344.0,,,3189677.0,,,,,,,3286904.0,
